real12,pred12,real3,pred3
95.90648,95.39848,97.68781,96.23274
98.038086,95.17834,95.25277,96.61755
95.74333,94.95438,99.59375,96.24844
94.23304,94.88409,99.90596,96.33214
96.75947,94.81118,95.1193,95.93058
95.175026,94.89249,97.54527,96.21594
97.31318,94.846275,97.27683,96.57694
95.94494,95.12859,93.34054,96.179115
96.52087,95.3079,94.64832,96.33017
94.733376,95.59247,95.90648,96.439674
96.69987,95.36124,98.038086,95.74152
94.238396,95.312775,95.74333,95.61669
96.05807,95.07345,94.23304,95.377815
96.45414,95.4328,96.75947,95.72648
94.63841,95.691216,95.175026,95.87834
96.83213,95.69169,97.31318,95.64731
97.63702,96.01507,95.94494,95.88217
95.32352,95.78228,96.52087,95.61647
96.38084,96.03362,94.733376,95.96945
94.73965,96.10931,96.69987,95.97563
99.39429,96.328606,94.238396,96.164925
93.36987,96.121284,96.05807,95.89894
98.41428,96.38442,96.45414,96.1353
97.265686,96.12066,94.63841,95.77007
96.705,96.41748,96.83213,96.0431
96.83113,96.612335,97.63702,96.17596
94.577835,96.68291,95.32352,96.06854
98.65583,97.01357,96.38084,96.51207
96.77656,97.16781,94.73965,96.75341
97.91275,96.94413,99.39429,96.423584
99.69462,97.09624,93.36987,96.50226
96.67,96.77093,98.41428,96.12177
98.46721,97.4395,97.265686,96.78589
97.703865,97.2284,96.705,96.265015
95.221596,97.57121,96.83113,96.71924
99.80068,97.80014,94.577835,96.94774
96.98643,97.760315,98.65583,96.98995
97.465485,97.944786,96.77656,97.28188
100.01844,97.80252,97.91275,97.08865
95.306,98.42361,99.69462,97.740425
96.20875,98.38252,96.67,97.80469
98.191925,98.6177,98.46721,98.057304
98.95916,99.035904,97.703865,98.556854
101.24175,98.892,95.221596,98.2923
99.93301,99.0486,99.80068,98.52353
99.99329,99.07123,96.98643,98.53488
97.423904,99.11409,97.465485,98.232376
98.25667,99.521515,100.01844,98.746445
98.332436,99.04724,95.306,98.28789
97.57505,98.95426,96.20875,98.26874
96.86708,99.358246,98.191925,98.786545
101.45709,99.02981,98.95916,98.18418
98.40263,98.8704,101.24175,98.07758
99.82533,99.06434,99.93301,98.2809
98.17736,99.209404,99.99329,98.531746
97.33103,99.4957,97.423904,99.071915
100.854065,99.5084,98.25667,99.14488
98.69646,99.70507,98.332436,99.48085
98.89778,99.51138,97.57505,99.088585
98.492966,99.479805,96.86708,99.06665
99.923134,99.54619,101.45709,99.13317
98.66418,99.63316,98.40263,99.04157
98.428185,99.60098,99.82533,98.872314
96.25054,99.97479,98.17736,99.482834
98.67396,99.828514,97.33103,99.294685
99.43297,99.84541,100.854065,99.52163
98.58782,99.829155,98.69646,99.39028
99.494705,99.793015,98.89778,99.14323
99.29341,100.08201,98.492966,99.6286
101.126884,100.10833,99.923134,99.58423
99.92435,100.14771,98.66418,99.617134
100.74419,100.14974,98.428185,99.592384
102.262215,100.221825,96.25054,99.75413
102.53352,100.19638,98.67396,99.686005
102.717834,100.155174,99.43297,99.5852
