from,to,cost,CONZONE_ID,ST_ND_NM,END_ND_NM,,,,
209,448,2350,0550CZS030,대동IC,초정IC,,,,
667,209,3270,0550CZS040,대감JC,대동IC,,,,
147,667,1230,0550CZS050,대동JC,대감JC,,,,
147,346,9350,0552CZE050,대동JC,상동IC,,,,
346,345,15800,0552CZE060,상동IC,삼랑진IC,,,,
345,331,7800,0552CZE070,삼랑진IC,남밀양IC,,,,
331,332,5800,0552CZE080,남밀양IC,밀양IC,,,,
332,1025,1890,0552CZE085,밀양IC,밀양JC,,,,
1025,333,16210,0552CZE090,밀양JC,청도IC,,,,
333,344,22500,0552CZE100,청도IC,수성IC,,,,
344,343,3300,0552CZE110,수성IC,동대구IC,,,,
346,147,9350,0552CZS050,상동IC,대동JC,,,,
345,346,15800,0552CZS060,삼랑진IC,상동IC,,,,
331,345,7800,0552CZS070,남밀양IC,삼랑진IC,,,,
332,331,5800,0552CZS080,밀양IC,남밀양IC,,,,
1025,332,1890,0552CZS085,밀양JC,밀양IC,,,,
333,1025,16210,0552CZS090,청도IC,밀양JC,,,,
344,333,22500,0552CZS100,수성IC,청도IC,,,,
343,344,3300,0552CZS110,동대구IC,수성IC,,,,
592,386,1500,0651CZE015,동부산IC,해운대IC,,,,
386,445,7870,0651CZE020,해운대IC,기장IC,,,,
445,388,5380,0651CZE030,기장IC,장안IC,,,,
388,389,10300,0651CZE040,장안IC,온양IC,,,,
389,390,7870,0651CZE050,온양IC,청량IC,,,,
390,1028,3550,0651CZE060,청량IC,울주JC,,,,
1028,442,1730,0651CZE065,울주JC,문수IC,,,,
442,405,4280,0651CZE070,문수IC,울산JCT,,,,
386,592,1500,0651CZS015,해운대IC,동부산IC,,,,
445,386,7870,0651CZS020,기장IC,해운대IC,,,,
388,445,5380,0651CZS030,장안IC,기장IC,,,,
389,388,10300,0651CZS040,온양IC,장안IC,,,,
390,389,7870,0651CZS050,청량IC,온양IC,,,,
1028,390,3550,0651CZS060,울주JC,청량IC,,,,
442,1028,1730,0651CZS065,문수IC,울주JC,,,,
405,442,4280,0651CZS070,울산JCT,문수IC,,,,
288,287,2330,1100CZE040,남동IC,서창JC,,,,
287,288,2330,1100CZS040,서창JC,남동IC,,,,
294,289,3780,1200CZE040,서인천IC,부평IC,,,,
289,326,2330,1200CZE050,부평IC,인천TG,,,,
326,297,790,1200CZE060,인천TG,서운JC,,,,
297,298,1730,1200CZE070,서운JC,부천IC,,,,
298,234,4880,1200CZE080,부천IC,신월IC,,,,
289,294,3780,1200CZS040,부평IC,서인천IC,,,,
326,289,2330,1200CZS050,인천TG,부평IC,,,,
297,326,790,1200CZS060,서운JC,인천TG,,,,
298,297,1730,1200CZS070,부천IC,서운JC,,,,
234,298,4880,1200CZS080,신월IC,부천IC,,,,
170,172,5520,2510CZE010,논산JC,논산IC,,,,
172,661,9480,2510CZE020,논산IC,양촌Hi,,,,
661,349,12950,2510CZE025,양촌Hi,계룡IC,,,,
349,99,6430,2510CZE030,계룡IC,서대전JC,,,,
99,101,8430,2510CZE040,서대전JC,유성IC,,,,
103,102,3590,2510CZE070,북대전IC,회덕JC,,,,
172,170,5520,2510CZS010,논산IC,논산JC,,,,
661,172,9480,2510CZS020,양촌Hi,논산IC,,,,
349,661,12950,2510CZS025,계룡IC,양촌Hi,,,,
